ing_name,ordered_weight,total_inv_weight,remaining_weight
"Dried oregano",146,2000,1854
"Mozzarella cheese",35270,100000,64730
"Tomato sauce ",17180,112500,95320
"Pizza dough ball (8 pack)",68200,100000,31800
"Chilli pepper",635,4000,3365
"Spicy salami",3040,7000,3960
"Ricotta cheese",5100,15000,9900
"Gorgonzola cheese",5100,35000,29900
"Parmesan cheese",8630,25000,16370
"Caesar dressing",740,19000,18260
"Romain lettuce",3700,37500,33800
Croutons,1850,6250,4400
"Rotisserie chicken pieces",4440,25000,20560
"Strawberry ice cream",900,9000,8100
"San Pelligrino 33cl",4,120,116
Capers,133,2000,1867
Anchovies,1850,2000,150
"Pistachio ice cream",600,9000,8400
"Chocolate ice cream",800,9000,8200
"Chocolate brownie",2175,5000,2825
"Chicken wings",3600,24000,20400
"Banoffee pie",3720,2400,-1320
"Vanilla ice cream",800,9000,8200
"Coca Cola Regular 1.5l",10,120,110
Eggplant,2580,20000,17420
"Coca Cola Diet 33cl",8,120,112
Pepperoni,6320,25000,18680
"Coca Cola Regular 33cl",14,120,106
Calamari,1250,7500,6250
Tuna,1250,6000,4750
Shrimp,1250,10000,8750
"Garlic and parsley butter",255,9000,8745
"Fruit salad",1500,10000,8500
"Perrier 1.5l",1,120,119
"Sprite Regular 1.5l",11,120,109
"Fanta Regular 33cl",9,120,111
"Fanta Regular 1.5l",6,120,114
"San Pelligrino 1.5l",9,120,111
"Perrier 33cl",3,120,117
Pineapple,820,20000,19180
Ham,1030,20000,18970
"Sprite Regular 33cl",3,120,117
"Sprite Diet 33cl",1,120,119
"Fanta Diet 1.5l",2,120,118
"Coca Cola Diet 1.5l",1,120,119
